自建源,#genre#

CCTV_1 iptv,http://192.168.10.212/iptv_curl.php?act=play&token=dd9eb4bade90722e905fa8a980208692&tid=fjitv&id=1

翡翠台 iptv,http://192.168.10.212/iptv_curl_txt.php?act=play&token=3d569fcd48b60cf6ef0e70cb9ee48931&tid=gt&id=1
翡翠台J2 iptv,http://192.168.10.212/iptv_curl_txt.php?act=play&token=7abe20057dc5a405bbff552e3280cda6&tid=gt&id=12
明珠台 iptv,http://192.168.10.212/iptv_curl_txt.php?act=play&token=4d114682e44a65445441f4bdfae836bd&tid=gt&id=13
viuTV iptv,http://192.168.10.212/iptv_curl_txt.php?act=play&token=4a22e6476e0526053369d682329ec96f&tid=gt&id=8
无线新闻台 iptv,http://192.168.10.212/iptv_curl_txt.php?act=play&token=22455f59a0ecb99688e655d343935bd9&tid=gt&id=9
有线新闻台 iptv,http://192.168.10.212/iptv_curl_txt.php?act=play&token=e6999c08138683dccc4186e40661fbc3&tid=gt&id=31
HBO HD iptv,http://192.168.10.212/iptv_curl_txt.php?act=play&token=43509f5ea81636570bd52f93609b737d&tid=gt&id=27
广东体育HD iptv,http://192.168.10.212/iptv_curl_txt.php?act=play&token=2e1f18a968afac88cf7ae5e75d84d104&tid=ty&id=6

无线新闻台 tvb,http://192.168.10.212/tvb_news_curl.php
无线财经台 tvb,http://192.168.10.212/tvb_finance_curl.php

广州综合 gztv,http://192.168.10.212/gztv_curl.php?id=5c7f7072e4b01c17db18fbd5#http://192.168.10.212/gztv_curl.php?id=5c7f7072e4b01c17db18fbd5
广州新闻 gztv,http://192.168.10.212/gztv_curl.php?id=5c7f6f73e4b01c17db18fbd3#http://192.168.10.212/gztv_curl.php?id=5c7f6f73e4b01c17db18fbd3
广州法治 gztv,http://192.168.10.212/gztv_curl.php?id=5c7f7097e4b01c17db18fbd7#http://192.168.10.212/gztv_curl.php?id=5c7f7097e4b01c17db18fbd7
广州竞赛 gztv,http://192.168.10.212/gztv_curl.php?id=5c7f70b7e4b01c17db18fbd9#http://192.168.10.212/gztv_curl.php?id=5c7f70b7e4b01c17db18fbd9
广州影视 gztv,http://192.168.10.212/gztv_curl.php?id=5c7f70dce4b01c17db18fbdb#http://192.168.10.212/gztv_curl.php?id=5c7f70dce4b01c17db18fbdb
广州少儿 gztv,http://192.168.10.212/gztv_curl.php?id=5c7f711de4b01c17db18fbdf#http://192.168.10.212/gztv_curl.php?id=5c7f711de4b01c17db18fbdf
广州生活 gztv,http://192.168.10.212/gztv_curl.php?id=5c7f70fee4b01c17db18fbdd#http://192.168.10.212/gztv_curl.php?id=5c7f70fee4b01c17db18fbdd

湖南经视 mgtv,http://192.168.10.212/mgtv_curl.php?id=280
湖南都市 mgtv,http://192.168.10.212/mgtv_curl.php?id=346
湖南公共 mgtv,http://192.168.10.212/mgtv_curl.php?id=261
湖南娱乐 mgtv,http://192.168.10.212/mgtv_curl.php?id=344
湖南电视剧 mgtv,http://192.168.10.212/mgtv_curl.php?id=484
湖南国际 mgtv,http://192.168.10.212/mgtv_curl.php?id=229
金鹰纪实 mgtv,http://192.168.10.212/mgtv_curl.php?id=316
金鹰卡通 mgtv,http://192.168.10.212/mgtv_curl.php?id=287
先锋兵羽 mgtv,http://192.168.10.212/mgtv_curl.php?id=329
快乐垂钓 mgtv,http://192.168.10.212/mgtv_curl.php?id=218
茶频道 mgtv,http://192.168.10.212/mgtv_curl.php?id=578
长沙新闻 mgtv,http://192.168.10.212/mgtv_curl.php?id=269
长沙政法 mgtv,http://192.168.10.212/mgtv_curl.php?id=254
长沙女性 mgtv,http://192.168.10.212/mgtv_curl.php?id=230

翡翠台 iptv_test,http://192.168.10.212/tvb_iptv_test_curl.php

*清除缓存*,http://192.168.10.212/delalltxt.php

广东台,#genre#
广东珠江,http://nclive.grtn.cn/zjpd/sd/live.m3u8
广东新闻,http://nclive.grtn.cn/xwpd/sd/live.m3u8
广东影视,http://nclive.grtn.cn/tvs4/sd/live.m3u8
广东公共,http://nclive.grtn.cn/ggpd/sd/live.m3u8
广东体育,http://nclive.grtn.cn/typd/sd/live.m3u8
广东体育 p2p,p2p://lino.homeunix.com:6007/5acb5cb90007145f2b6ce964057a3e6f.ts
广东体育HD,https://116.77.72.195/streams/d/gdty/playlist.m3u8
广东国际,http://nclive.grtn.cn/gjpd/sd/live.m3u8
广东房产,http://nclive.grtn.cn/fcpd/sd/live.m3u8
珠江电影[电信],http://116.199.5.51:8114/hls/Fsv_chan_hls_se_idx=7&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=0&Pcontent_id=8114.m3u8
南方卫视* 源1,http://223.110.245.153/ott.js.chinamobile.com/PLTV/3/224/3221227005/index.m3u8
南方卫视* 源2,http://183.207.248.34/PLTV/4/224/3221227005/index.m3u8?servicetype=1&icpid=88888888&from=1&hms_devid=3464
高清探索 源1,http://39.134.176.148/PLTV/88888888/224/3221226606/index.m3u8
高清探索 源2,http://39.134.176.148/PLTV/88888888/224/3221226608/index.m3u8
高清探索 源3,http://39.134.176.148/PLTV/88888888/224/3221226695/index.m3u8

岭南戏曲[电信],rtsp://183.59.156.50/PLTV/88888905/224/3221227225/10000100000000060000000000990089_0.smil?rrsip=125.88.104.45,rrsip=125.88.70.140&icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPBlKSFKAWQ93IqM8mMlpFAA==:20200129225117,02040597503
粤曲荟萃[电信],rtsp://183.59.156.50/PLTV/88888905/224/3221228100/10000100000000060000000007150280_0.smil?rrsip=125.88.104.45,rrsip=125.88.70.140&icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPwKi63WlfjIZlVcffjQu5lQ==:20200129225117,02040597503

TVS1经济科教,http://nclive.grtn.cn/tvs1hd/hd/live.m3u8
TVS2南方卫视,http://nclive.grtn.cn/tvs2/sd/live.m3u8
TVS3广东综艺 4K,http://nclive.grtn.cn/4K/sd/live.m3u8
TVS4广东影视,http://nclive.grtn.cn/tvs4/sd/live.m3u8
TVS5广东少儿,http://nclive.grtn.cn/tvs5/sd/live.m3u8
嘉佳卡通,http://nclive.grtn.cn/jjkt/sd/live.m3u8
高尔夫,http://nclive.grtn.cn/grfpd/sd/live.m3u8
南方购物,http://nclive.grtn.cn/nfgw/sd/live.m3u8

佛山综合,http://dslive.grtn.cn/fszh/sd/live.m3u8
佛山综合 rtmp,rtmp://pili-live-rtmp.wdit.com.cn/wditlive/fs_zhpd
佛山公共,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_ggpd.m3u8
佛山公共 rtmp,rtmp://pili-live-rtmp.wdit.com.cn/wditlive/fs_ggpd
佛山影视,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_yspd.m3u8
佛山影视 rtmp,rtmp://pili-live-rtmp.wdit.com.cn/wditlive/fs_yspd
佛山南海,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_nhpd.m3u8
佛山南海 rtmp,rtmp://pili-live-rtmp.wdit.com.cn/wditlive/fs_nhpd
佛山顺德,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_sdpd.m3u8
佛山顺德 rtmp,rtmp://pili-live-rtmp.wdit.com.cn/wditlive/fs_sdpd
佛山高明,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_gmpd.m3u8
佛山高明 rtmp,rtmp://pili-live-rtmp.wdit.com.cn/wditlive/fs_gmpd
佛山三水,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_sspd.m3u8
佛山三水 rtmp,rtmp://pili-live-rtmp.wdit.com.cn/wditlive/fs_sspd
佛山禅城,rtmp://pili-live-rtmp.wdit.com.cn/wditlive/fs-ccpd

广州综合,http://aplay.gztv.com/sec/zhonghe.m3u8
广州新闻,http://aplay.gztv.com/sec/xinwen.m3u8
广州法治,http://aplay.gztv.com/sec/jingji.m3u8
广州竞赛,http://aplay.gztv.com/sec/jingsai.m3u8
广州影视,http://aplay.gztv.com/sec/yingshi.m3u8
广州少儿,http://aplay.gztv.com/sec/shaoer.m3u8
广州生活,http://aplay.gztv.com/sec/shenghuo.m3u8
广州购物,http://aplay.gztv.com/sec/gouwu.m3u8



香港/澳门,#genre#
翡翠台[电信],http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=188&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1

明珠台[电信],http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=12&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1

翡翠台J2,http://live.ergt4rt.wang/gangaotai.php?id=12

无线新闻台 源1,http://sousou2.top:80/dl/tvb.php?id=inews
无线新闻台 源2,http://www.liveviptv.xyz/tv/tvb.php
无线新闻台 P2p1,P2p://sdgdklwos.finetv.tv:9906/5ad32bdc000b780449ee52022e841cf7
无线新闻台 P2p2,p2p://lino.homeunix.com:6007/5ad32bdc000b780449ee52022e841cf7.ts
无线新闻台 P2p3,p2p://lino.homeunix.com:6007/5a562bec0007bfd761a2998e00b83dd5.ts

无线财经台 源1,http://prdsecurelive.ainemo.com/live/234cjcj.m3u8
无线财经台 源2,http://live.ergt4rt.wang/gangaotai.php?id=10
无线财经台 P2p1,P2p://sdgdklwos.finetv.tv:9906/59fd314f000be93d02d51ae40a3a24e8
无线财经台 P2p2,p2p://lino.homeunix.com:6007/59fd314f000be93d02d51ae40a3a24e8.ts

有线新闻台 源1,https://icable.cdn.utvhk.com/live/4cc64fb362004798b222978935590b2c/1980ba5c365e4f049f99aced1277303c.m3u8
有线新闻台 源2,http://wowgua.com/live/channel_109.m3u8
有线新闻台 源3,https://ottproxy2.mott.tv/livehls/MOB-SCC/02.m3u8
有线新闻台 源4,https://ottproxy2.mott.tv/livehls/MOB-SCC/03.m3u8?sessionID=XNoSKsoyhu+3ZzGxIn6l1Azz

有线综合娱乐,http://wowgua.com/live/channel_301.m3u8

有线财经资讯台 源1,http://wowgua.com/live/channel_108.m3u8
有线财经资讯台 源2,https://icable.cdn.utvhk.com/live/5bcdb730f6be41868ac15afffbb67152/3d27db5ab65942eda36b25374669990d.m3u8

TVB星河 iptv,http://192.154.103.75:8080/ZZ_xinghe/ZZ_xinghe.m3u8

C+频道 源1,http://wowgua.com/live/channel_utv_c_plus.m3u8
C+频道 源2,https://ottproxy2.mott.tv/livehls:cmi/MOB-U1-NO/01.m3u8

唐人,https://live.ntdimg.com/uwlive990/playlist.m3u8
新唐人亞太,https://live.ntdimg.com/aplive200/playlist.m3u8

耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8

卫视电影台 P2p,P2p://sdgdklwos.finetv.tv:9906/59fd0369000ea5750221d12f32a532b8

香港卫视 源1,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视 源2,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视 源3,http://cctvalih5ca.v.myalicdn.com/cstv/xianggangweishi_2/index.m3u8

星空卫视[电信],http://116.199.5.51:8114/index.m3u8?Fsv_chan_hls_se_idx=233&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8
星空卫视 源2,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Pcontent_id=&Provider_id=&Fsv_chan_hls_se_idx=233
星空卫视 源3,http://116.199.5.51:8114/hls/Fsv_chan_hls_se_idx=233&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=0&Pcontent_id=8114.m3u8
星空卫视 rtmp,rtmp://ivi.bupt.edu.cn:1935/livetv/startv

澳视,http://61.244.22.4/ch3/ch3.live/playelist.m3u8

澳门莲花 源1,http://live-rtmp.macaulotustv.com/lotustv/5562e9e4d409d24c9600075c.m3u8
澳门莲花 源2,http://live-rtmp.lotustv.duolaibo.cn/lotustv/5562e9e4d409d24c9600075c.m3u8

澳亚卫视 源1,http://stream.mastvnet.com/MASTV/sd/live.m3u8
澳亚卫视 源2,http://116.199.5.51:8114/index.m3u8?Fsv_chan_hls_se_idx=192&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8

澳门卫视 源1,http://stream.mastvnet.com/MSTV/SD/live.m3u8
澳门卫视 源2,http://stream.mastvnet.com/MSTV/playlist.m3u8

澳视澳门 源1,http://61.244.22.4/ch1/ch1.live/playelist.m3u8
澳视澳门 源2,http://61.244.22.4/ch1/ch1.live/chunklist_w373079640.m3u8

澳视资讯,http://61.244.22.4/ch5/info_ch5.live/playlist.m3u8

Channel[V]rtmp,rtmp://ivi.bupt.edu.cn:1935/livetv/channelv

MTV[电信],http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=202&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1

STAR SPORTS rtmp,rtmp://ivi.bupt.edu.cn:1935/livetv/starsports

国家地理 rtmp,rtmp://ivi.bupt.edu.cn:1935/livetv/natlgeo

探索频道 rtmp,rtmp://ivi.bupt.edu.cn:1935/livetv/discovery

亚旅卫视,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8

日本NHK华语,https://nhkw-zh-hlscomp.akamaized.net/ixxemlzk1vqvy44o/playlist.m3u8
日本NHK英语,https://nhkw-zh-hlscomp.akamaized.net/8thz5iufork8wjip/playlist.m3u8
日本全天新闻,https://n24-cdn-live.ntv.co.jp/ch01/High.m3u8

阳光卫视,https://stream.chinasuntv.com/680k/mid_video_index.m3u8

香港時,http://tvbilive10-i.akamaihd.net/hls/live/494663/CJHK5/CJHK5-04.m3u8

凤凰台,#genre#
凤凰香港台 源1,http://192.154.103.75:8080//ZZ_fenghuangxianggang/ZZ_fenghuangxianggang.m3u8
凤凰香港台 源2,http://qlive.fengshows.cn/live720p/PHK.flv?txSecret=daefe6664bbeadcfb4ee2338a48d041c&txTime=16f1ea41738

凤凰中文台 源6,http://liveali.ifeng.com/live/FHZW.m3u8
凤凰中文台 源1,http://112.50.243.8/PLTV/88888888/224/3221225900/1.m3u8
凤凰中文台 源2,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226922/index.m3u8
凤凰中文台 源3,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225942/1.m3u8
凤凰中文台 源5,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzw
凤凰中文台 源9,http://221.179.217.70/PLTV/88888888/224/3221225942/1.m3u8

凤凰资讯台 源6,http://liveali.ifeng.com/live/FHZX.m3u8
凤凰资讯台 源1,http://112.50.243.8/PLTV/88888888/224/3221225901/1.m3u8
凤凰资讯台 源2,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225949/1.m3u8
凤凰资讯台 源3,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8
凤凰资讯台 源4,http://183.207.248.71/PLTV/3/224/3221226923/index.m3u8
凤凰资讯台 源5,http://112.17.40.45:80/PLTV/88888888/224/3221226491/index.m3u8?icpid=88888888&from=30&hms_devid=1452,1462&online=1578833719
凤凰资讯台 源7,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzx
凤凰资讯台 源8,http://117.169.120.138:8080/live/fhzixun/index.m3u8
凤凰资讯台 源9,http://183.207.249.35/PLTV/3/224/3221226923/index.m3u8

凤凰电影台 源1,rtmp://ivi.bupt.edu.cn:1935/livetv/fhdy
凤凰电影台 源2,https://116.77.72.195/streams/d/fhdy/playlist.m3u8
凤凰电影台 源3,rtmp://58.200.131.2:1935/livetv/fhdy

电影,#genre#
东森电影,http://192.154.103.75:8080//ZZ_dongsendianying/ZZ_dongsendianying.m3u8
东森洋片,http://192.154.103.75:8080//ZZ_dongsenyangpian/ZZ_dongsenyangpian.m3u8
龙祥电影,http://192.154.103.75:8080/ZZ_shidai/ZZ_shidai.m3u8
好莱坞电影,http://192.154.103.75:8080//ZZ_haolaiwu/ZZ_haolaiwu.m3u8
CHC华诚-高清电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8
CHC华诚-家庭影院,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225927/index.m3u8
CHC华诚-动作电影,http://117.156.28.57/PLTV/88888888/224/3221225847/index.m3u8
电影1,http://aldirect.hls.huya.com/huyalive/29106097-2689453724-11551115788685410304-2847687506-10057-A-1525422901-1_1200.m3u8
电影2,http://tx.hls.huya.com/huyalive/28466698-2689662310-11552011658733813760-3048959582-10057-A-1525512946-1.m3u8
电影3,http://tx.hls.huya.com/huyalive/29106097-2689286606-11550398022340837376-2789274544-10057-A-0-1.m3u8
电影4,http://tx.hls.huya.com/huyalive/28466698-2689656864-11551988268341919744-2847699194-10057-A-0-1.m3u8
电影5,http://tx.hls.huya.com/huyalive/1448686695-1448686695-6222061977175326720-2847687574-10057-A-0-1.m3u8
电影6,http://cn-gdgz4-cmcc-live-01.live-play.acgvideo.com/live-bvc/live_88547185_8335137.m3u8
电影7,http://tx.hls.huya.com/huyalive/1448731738-1448731738-6222255435387240448-2847687610-10057-A-0-1.m3u8
电影8,https://aldirect.hls.huya.com/huyalive/94525224-2460685774-10568564925062447104-2789253840-10057-A-0-1_1200.m3u8
电影9,http://tx.hls.huya.com/huyalive/94525224-2460685313-10568562945082523648-2789274524-10057-A-0-1.m3u8
电影10,http://aldirect.hls.huya.com/huyalive/29169025-2686219938-11537226783573147648-2847699096-10057-A-1524024759-1_1200.m3u8
电影11,http://aldirect.hls.huya.com/huyalive/29169025-2686219962-11537226886652362752-2710080226-10057-A-0-1_1200.m3u8
电影12,http://aldirect.hls.huya.com/huyalive/29169025-2686220018-11537227127170531328-2847699120-10057-A-1524041208-1_1200.m3u8
电影13,http://aldirect.hls.huya.com/huyalive/28466698-2689656864-11551988268341919744-2847699194-10057-A-0-1_1200.m3u8
电影14,http://tx.hls.huya.com/huyalive/29106097-2689453724-11551115788685410304-2847687506-10057-A-1525422901-1.m3u8
电影15,http://tx.hls.huya.com/huyalive/30765679-2554414651-10971127386468253696-3048959632-10057-A-0-1.m3u8

央视频,#genre#
超高清 4K,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000266303.m3u8
CCTV1 综合,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8
CCTV2 财经,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8
CCTV3 综艺,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8
CCTV4 中文国际,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8
CCTV5 体育,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8
CCTV5+ 体育赛事,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000204503.m3u8
CCTV6 电影,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000203303.m3u8
CCTV7 国防军事,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8
CCTV8 电视剧,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8
CCTV9 纪录,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8
CCTV10 科教,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000203503.m3u8
CCTV11 戏曲,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8
CCTV12 社会与法,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000202603.m3u8
